istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
19141,2017,8,18,23,20.6
19141,2017,8,19,0,19.0
19141,2017,8,19,1,18.1
19141,2017,8,19,2,17.0
19141,2017,8,19,3,16.4
19141,2017,8,19,4,18.9
19141,2017,8,19,5,22.2
19141,2017,8,19,6,23.4
19141,2017,8,19,7,26.5
19141,2017,8,19,8,27.9
19141,2017,8,19,9,29.2
19141,2017,8,19,10,30.5
19141,2017,8,19,11,31.8
19141,2017,8,19,12,32.2
19141,2017,8,19,13,32.4
19141,2017,8,19,14,31.8
19141,2017,8,19,15,31.7
19141,2017,8,19,16,29.3
19141,2017,8,19,17,28.0
19141,2017,8,19,18,26.0
19141,2017,8,19,19,25.3
19141,2017,8,19,20,24.5
19141,2017,8,19,21,23.9
19141,2017,8,19,22,22.5
19141,2017,8,19,23,21.4
19141,2017,8,20,0,19.5
19141,2017,8,20,1,18.7
19141,2017,8,20,2,17.7
19141,2017,8,20,3,17.6
19141,2017,8,20,4,20.2
19141,2017,8,20,5,21.5
19141,2017,8,20,6,23.5
19141,2017,8,20,7,26.0
19141,2017,8,20,8,27.3
19141,2017,8,20,9,29.3
19141,2017,8,20,10,31.2
19141,2017,8,20,11,33.1
19141,2017,8,20,12,33.8
19141,2017,8,20,13,34.4
19141,2017,8,20,14,34.4
19141,2017,8,20,15,32.5
19141,2017,8,20,16,30.9
19141,2017,8,20,17,28.6
19141,2017,8,20,18,26.7
19141,2017,8,20,19,25.4
19141,2017,8,20,20,25.3
19141,2017,8,20,21,25.1
19141,2017,8,20,22,24.7
19141,2017,8,20,23,24.1
19141,2017,8,21,0,22.8
19141,2017,8,21,1,21.5
19141,2017,8,21,2,21.5
19141,2017,8,21,3,20.2
19141,2017,8,21,4,19.6
19141,2017,8,21,5,20.2
19141,2017,8,21,6,20.6
19141,2017,8,21,7,21.4
19141,2017,8,21,8,23.9
19141,2017,8,21,9,25.4
19141,2017,8,21,10,27.7
19141,2018,7,1,0,16.9
19141,2018,7,1,1,16.3
19141,2018,7,1,2,16.0
19141,2018,7,1,3,16.4
19141,2018,7,1,4,19.4
19141,2018,7,1,5,22.5
19141,2018,7,1,6,23.4
19141,2018,7,1,7,25.9
19141,2018,7,1,8,27.2
19141,2018,7,1,9,27.5
19141,2018,7,1,10,28.9
19141,2018,7,1,11,29.3
19141,2018,7,1,12,30.1
19141,2018,7,1,13,30.3
19141,2018,7,1,14,30.2
19141,2018,7,1,15,28.9
19141,2018,7,1,16,27.7
19141,2018,7,1,17,26.6
19141,2018,7,1,18,24.7
19141,2018,7,1,19,23.8
19141,2018,7,1,20,22.8
19141,2018,7,1,21,21.4
19141,2018,7,1,22,20.2
19141,2018,7,1,23,18.6
19141,2018,7,2,0,17.5
19141,2018,7,2,1,16.9
19141,2018,7,2,2,16.2
19141,2018,7,2,3,16.4
19141,2018,7,2,4,20.2
19141,2018,7,2,5,21.4
19141,2018,7,2,6,23.9
19141,2018,7,2,7,25.8
19141,2018,7,2,8,27.3
19141,2018,7,2,9,29.2
19141,2018,7,2,10,30.4
19141,2018,7,2,11,31.0
19141,2018,7,2,12,31.0
19141,2018,7,2,13,31.1
19141,2018,7,2,14,31.1
19141,2018,7,2,15,31.0
19141,2018,7,2,16,30.4
19141,2018,7,2,17,28.8
19141,2018,7,2,18,25.8
19141,2018,7,2,19,23.7
19141,2018,7,2,20,21.4
19141,2018,7,2,21,19.0
19141,2018,7,2,22,17.5
19141,2018,7,2,23,16.7
19141,2018,7,3,0,15.7
19141,2018,7,3,1,14.3
19141,2018,7,3,2,13.7
19141,2018,7,3,3,13.7
19141,2018,7,3,4,19.3
19141,2018,7,3,5,21.8
19141,2018,7,3,6,23.8
19141,2018,7,3,7,25.8
19141,2018,7,3,8,29.4
19141,2018,7,3,9,31.4
19141,2018,7,3,10,32.3
19141,2018,7,3,11,33.0
19141,2018,7,3,12,32.8
19141,2018,7,3,13,32.7
19141,2018,7,3,14,32.2
19141,2018,7,3,15,31.8
19141,2018,7,3,16,31.1
19141,2018,7,3,17,29.7
19141,2018,7,3,18,27.4
19141,2018,7,3,19,26.4
19141,2018,7,3,20,24.7
19141,2018,7,3,21,22.0
19141,2018,7,3,22,21.8
19141,2018,7,3,23,19.6
19141,2018,7,4,0,17.6
19141,2018,7,4,1,16.8
19141,2018,7,4,2,15.6
19141,2018,7,4,3,15.6
19141,2018,7,4,4,20.5
19141,2018,7,4,5,22.9
19141,2018,7,4,6,24.8
19141,2018,7,4,7,27.3
19141,2018,7,4,8,29.1
19141,2018,7,4,9,30.9
19141,2018,7,4,10,32.3
19141,2018,7,4,11,32.7
19141,2018,7,4,12,33.3
19141,2018,7,4,13,32.9
19141,2018,7,4,14,32.8
19141,2018,7,4,15,32.2
19141,2018,7,4,16,30.6
19141,2018,7,4,17,28.5
19141,2018,7,4,18,26.1
19141,2018,7,4,19,23.9
19141,2018,7,4,20,22.9
19141,2018,7,4,21,20.9
19141,2018,7,4,22,19.8
19141,2018,7,4,23,18.7
19141,2018,7,5,0,18.0
19141,2018,7,5,1,16.7
