istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
19141,2017,8,19,0,82.0
19141,2017,8,19,1,85.0
19141,2017,8,19,2,92.0
19141,2017,8,19,3,90.0
19141,2017,8,19,4,86.0
19141,2017,8,19,5,77.0
19141,2017,8,19,6,66.0
19141,2017,8,19,7,63.0
19141,2017,8,19,8,51.0
19141,2017,8,19,9,42.0
19141,2017,8,19,10,38.0
19141,2017,8,19,11,35.0
19141,2017,8,19,12,33.0
19141,2017,8,19,13,34.0
19141,2017,8,19,14,39.0
19141,2017,8,19,15,42.0
19141,2017,8,19,16,46.0
19141,2017,8,19,17,55.0
19141,2017,8,19,18,62.0
19141,2017,8,19,19,64.0
19141,2017,8,19,20,67.0
19141,2017,8,19,21,70.0
19141,2017,8,19,22,75.0
19141,2017,8,19,23,80.0
19141,2017,8,20,0,85.0
19141,2017,8,20,1,86.0
19141,2017,8,20,2,89.0
19141,2017,8,20,3,90.0
19141,2017,8,20,4,88.0
19141,2017,8,20,5,79.0
19141,2017,8,20,6,72.0
19141,2017,8,20,9,48.0
19141,2017,8,20,10,34.0
19141,2017,8,20,11,25.0
19141,2017,8,20,12,22.0
19141,2017,8,20,13,23.0
19141,2017,8,20,14,27.0
19141,2017,8,20,15,36.0
19141,2017,8,20,16,43.0
19141,2017,8,20,17,51.0
19141,2017,8,20,18,57.0
19141,2017,8,20,19,58.0
19141,2017,8,20,20,56.0
19141,2017,8,20,21,55.0
19141,2017,8,20,22,57.0
19141,2017,8,20,23,67.0
19141,2017,8,21,0,76.0
19141,2017,8,21,1,87.0
19141,2017,8,21,2,85.0
19141,2017,8,21,3,91.0
19141,2017,8,21,4,95.0
19141,2017,8,21,6,93.0
19141,2017,8,21,7,87.0
19141,2017,8,21,8,78.0
19141,2017,8,21,9,66.0
19141,2018,7,1,0,97.0
19141,2018,7,1,1,98.0
19141,2018,7,1,2,98.0
19141,2018,7,1,3,98.0
19141,2018,7,1,4,92.0
19141,2018,7,1,5,74.0
19141,2018,7,1,6,71.0
19141,2018,7,1,7,59.0
19141,2018,7,1,8,52.0
19141,2018,7,1,9,50.0
19141,2018,7,1,10,47.0
19141,2018,7,1,11,46.0
19141,2018,7,1,12,43.0
19141,2018,7,1,13,43.0
19141,2018,7,1,14,48.0
19141,2018,7,1,15,52.0
19141,2018,7,1,16,56.0
19141,2018,7,1,17,59.0
19141,2018,7,1,18,65.0
19141,2018,7,1,19,70.0
19141,2018,7,1,20,73.0
19141,2018,7,1,21,82.0
19141,2018,7,1,22,88.0
19141,2018,7,1,23,94.0
19141,2018,7,2,0,97.0
19141,2018,7,2,1,98.0
19141,2018,7,2,2,98.0
19141,2018,7,2,3,98.0
19141,2018,7,2,4,94.0
19141,2018,7,2,5,78.0
19141,2018,7,2,6,71.0
19141,2018,7,2,7,61.0
19141,2018,7,2,8,42.0
19141,2018,7,2,9,30.0
19141,2018,7,2,10,24.0
19141,2018,7,2,11,17.0
19141,2018,7,2,12,18.0
19141,2018,7,2,13,23.0
19141,2018,7,2,14,24.0
19141,2018,7,2,15,26.0
19141,2018,7,2,16,30.0
19141,2018,7,2,17,36.0
19141,2018,7,2,18,47.0
19141,2018,7,2,19,48.0
19141,2018,7,2,20,54.0
19141,2018,7,2,21,69.0
19141,2018,7,2,22,71.0
19141,2018,7,2,23,74.0
19141,2018,7,3,0,79.0
19141,2018,7,3,1,83.0
19141,2018,7,3,2,86.0
19141,2018,7,3,3,87.0
19141,2018,7,3,4,76.0
19141,2018,7,3,5,56.0
19141,2018,7,3,6,53.0
19141,2018,7,3,7,46.0
19141,2018,7,3,8,34.0
19141,2018,7,3,9,24.0
19141,2018,7,3,10,23.0
19141,2018,7,3,11,20.0
19141,2018,7,3,12,19.0
19141,2018,7,3,13,18.0
19141,2018,7,3,14,23.0
19141,2018,7,3,15,27.0
19141,2018,7,3,16,30.0
19141,2018,7,3,17,33.0
19141,2018,7,3,18,38.0
19141,2018,7,3,19,46.0
19141,2018,7,3,20,50.0
19141,2018,7,3,21,54.0
19141,2018,7,3,22,53.0
19141,2018,7,3,23,69.0
19141,2018,7,4,0,69.0
19141,2018,7,4,1,77.0
19141,2018,7,4,2,79.0
19141,2018,7,4,3,83.0
19141,2018,7,4,4,70.0
19141,2018,7,4,5,53.0
19141,2018,7,4,6,50.0
19141,2018,7,4,7,41.0
19141,2018,7,4,8,33.0
19141,2018,7,4,9,31.0
19141,2018,7,4,10,30.0
19141,2018,7,4,11,30.0
19141,2018,7,4,12,26.0
19141,2018,7,4,13,27.0
19141,2018,7,4,14,28.0
19141,2018,7,4,15,32.0
19141,2018,7,4,16,40.0
19141,2018,7,4,17,43.0
19141,2018,7,4,18,50.0
19141,2018,7,4,19,57.0
19141,2018,7,4,20,62.0
19141,2018,7,4,21,66.0
19141,2018,7,4,22,71.0
19141,2018,7,4,23,76.0
19141,2018,7,5,0,81.0
19141,2018,7,5,1,85.0
19141,2018,7,5,2,87.0
19141,2018,7,5,3,89.0
19141,2018,7,5,4,81.0
19141,2018,7,5,5,65.0
19141,2018,7,5,7,50.0
19141,2018,7,5,8,39.0
19141,2018,7,5,9,33.0
19141,2018,7,5,10,30.0
19141,2018,7,5,11,29.0
19141,2018,7,5,12,28.0
19141,2018,7,5,13,29.0
19141,2018,7,5,14,31.0
19141,2018,7,5,15,32.0
19141,2018,7,5,16,35.0
19141,2018,7,5,17,39.0
19141,2018,7,5,18,42.0
19141,2018,7,5,19,46.0
