istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
17121,2016,7,1,0,16.8
17121,2016,7,1,1,16.9
17121,2016,7,1,2,16
17121,2016,7,1,3,18
17121,2016,7,1,4,19.9
17121,2016,7,1,5,21.5
17121,2016,7,1,6,22.9
17121,2016,7,1,7,23.1
17121,2016,7,1,8,26.3
17121,2016,7,1,9,26.6
17121,2016,7,1,10,28
17121,2016,7,1,11,28.6
17121,2016,7,1,12,28.9
17121,2016,7,1,13,28.7
17121,2016,7,1,14,28.4
17121,2016,7,1,15,27.9
17121,2016,7,1,16,26.9
17121,2016,7,1,17,25.4
17121,2016,7,1,18,23.2
17121,2016,7,1,19,21.9
17121,2016,7,1,20,21.8
17121,2016,7,1,21,20.6
17121,2016,7,1,22,18.4
17121,2016,7,1,23,17
17121,2016,7,2,0,15.7
17121,2016,7,2,1,15.2
17121,2016,7,2,2,14.6
17121,2016,7,2,3,15
17121,2016,7,2,4,19.2
17121,2016,7,2,5,23
17121,2016,7,2,6,25.2
17121,2016,7,2,7,26.4
17121,2016,7,2,8,27.6
17121,2016,7,2,9,28.7
17121,2016,7,2,10,29.5
17121,2016,7,2,11,29.8
17121,2016,7,2,12,30.3
17121,2016,7,2,13,30
17121,2016,7,2,14,28.7
17121,2016,7,2,15,28.8
17121,2016,7,2,16,27.7
17121,2016,7,2,17,26.2
17121,2016,7,2,18,24
17121,2016,7,2,19,22.2
17121,2016,7,2,20,20.6
17121,2016,7,2,21,19.3
17121,2016,7,2,22,18.1
17121,2016,7,2,23,17.5
17121,2016,7,3,0,17.1
17121,2016,7,3,1,16.3
17121,2016,7,3,2,17.2
17121,2016,7,3,3,17.6
17121,2016,7,3,4,20.5
17121,2016,7,3,5,22.2
17121,2016,7,3,6,24.8
17121,2016,7,3,7,26.4
17121,2016,7,3,8,27.3
17121,2016,7,3,9,27.4
17121,2016,7,3,10,28.7
17121,2016,7,3,11,28.8
17121,2016,7,3,12,29.1
17121,2016,7,3,13,29.4
17121,2016,7,3,14,29
17121,2016,7,3,15,28.8
17121,2016,7,3,16,27.4
17121,2016,7,3,17,25.4
17121,2016,7,3,18,23.3
17121,2016,7,3,19,21.7
17121,2016,7,3,20,21.4
17121,2016,7,3,21,19.9
17121,2016,7,3,22,18.9
17121,2016,7,3,23,18.8
17121,2016,7,4,0,18.4
17121,2016,7,4,1,16.5
17121,2016,7,4,2,17.5
17121,2016,7,4,3,17.6
17121,2016,7,4,4,21.8
17121,2016,7,4,5,23.7
17121,2016,7,4,6,24.9
17121,2016,7,4,7,27.1
17121,2016,7,4,8,27.2
17121,2016,7,4,9,27.5
17121,2016,7,4,10,28.9
17121,2016,7,4,11,28.4
17121,2016,7,4,12,29.6
17121,2016,7,4,13,29.9
17121,2016,7,4,14,29.7
17121,2016,7,4,15,27.5
17121,2016,7,4,16,26.7
17121,2016,7,4,17,25.1
17121,2016,7,4,18,23.3
17121,2016,7,4,19,22.2
17121,2016,7,4,20,22.4
17121,2016,7,4,21,21.2
17121,2016,7,4,22,19.8
17121,2016,7,4,23,19.5
17121,2016,7,5,0,19.6
17121,2016,7,5,1,18.8
17121,2016,7,5,2,17.9
17121,2016,7,5,3,20.4
17121,2016,7,5,4,22.1
17121,2016,7,5,5,23
17121,2016,7,5,6,25
17121,2016,7,5,7,25.6
17121,2016,7,5,8,26.4
17121,2016,7,5,9,27.9
17121,2016,7,5,10,27.7
17121,2016,7,5,11,28.3
17121,2016,7,5,12,28.2
17121,2016,7,5,13,28.1
17121,2016,7,5,14,26.6
17121,2016,7,5,19,20.6
17121,2016,7,5,20,20.3
17121,2016,7,5,21,20
17121,2016,7,5,22,19.5
17121,2016,7,5,23,18.6
17121,2016,7,6,0,17.4
17121,2016,7,6,1,16.8
17121,2016,7,6,2,15.1
17121,2016,7,6,3,15
17121,2016,7,6,4,17.3
17121,2016,7,6,5,20.3
17121,2016,7,6,6,22.4
17121,2016,7,6,7,23.9
17121,2016,7,6,8,26
17121,2016,7,6,9,26.9
17121,2016,7,6,10,28.5
17121,2016,7,6,11,29.4
17121,2016,7,6,12,29.8
17121,2016,7,6,13,29.5
17121,2016,7,6,14,28.5
17121,2016,7,6,15,27.9
17121,2016,7,6,16,26.5
17121,2016,7,6,17,24.6
17121,2016,7,6,18,22.4
17121,2016,7,6,19,21
17121,2016,7,6,20,19.4
17121,2016,7,6,21,18
17121,2016,7,6,22,17
17121,2016,7,6,23,16.4
17121,2016,7,7,0,16.1
17121,2016,7,7,1,16
17121,2016,7,7,2,16
17121,2016,7,7,3,16.6
17121,2016,7,7,4,18.5
17121,2016,7,7,5,20.7
17121,2016,7,7,6,23.6
17121,2016,7,7,7,25.2
17121,2016,7,7,8,26.5
17121,2016,7,7,9,27.7
17121,2016,7,7,10,28.7
17121,2016,7,7,11,28.6
17121,2016,7,7,12,28.2
17121,2016,7,7,13,27.3
17121,2016,7,7,14,27.1
17121,2016,7,7,15,26
17121,2016,7,7,16,24.7
17121,2016,7,7,17,23.1
17121,2016,7,7,18,22.2
17121,2016,7,7,19,21.1
17121,2016,7,7,20,20.6
17121,2016,7,7,21,19.7
17121,2016,7,7,22,19.4
17121,2016,7,7,23,18.7
17121,2016,7,8,0,17.7
17121,2016,7,8,1,17.6
17121,2016,7,8,2,16.5
17121,2016,7,8,3,16.9
17121,2016,7,8,4,19.2
17121,2016,7,8,5,22.2
17121,2016,7,8,6,23
17121,2016,7,8,7,23.6
17121,2016,7,8,8,24.9
17121,2016,7,8,9,25.6
17121,2016,7,8,10,26.5
17121,2016,7,8,11,27.6
17121,2016,7,8,12,28
17121,2016,7,8,13,27.8
17121,2016,7,8,14,27.7
17121,2016,7,8,15,27.1
17121,2016,7,8,16,25.6
17121,2016,7,8,17,23.8
17121,2016,7,8,18,21.7
17121,2016,7,8,19,20.1
17121,2016,7,8,20,18.8
17121,2016,7,8,21,17.7
17121,2016,7,8,22,16
17121,2016,7,8,23,14.3
17121,2016,7,9,0,13.7
17121,2016,7,9,1,12.2
17121,2016,7,9,2,12.3
17121,2016,7,9,3,11.8
17121,2016,7,9,4,16.7
17121,2016,7,9,5,18.1
17121,2016,7,9,6,20.5
17121,2016,7,9,7,22.8
17121,2016,7,9,8,24.3
17121,2016,7,9,9,25.5
17121,2016,7,9,10,26.6
17121,2016,7,9,11,28.3
17121,2016,7,9,12,29.6
17121,2016,7,9,13,29.8
17121,2016,7,9,14,28.8
17121,2016,7,9,15,28.4
17121,2016,7,9,16,26.8
17121,2016,7,9,17,24.3
17121,2016,7,9,18,21.6
17121,2016,7,9,19,20.2
17121,2016,7,9,20,18.6
17121,2016,7,9,21,18.2
17121,2016,7,9,22,16.8
17121,2016,7,9,23,15.4
17121,2016,7,10,0,14.4
17121,2016,7,10,1,12.8
17121,2016,7,10,2,13.1
17121,2016,7,10,3,14.2
17121,2016,7,10,4,16.7
17121,2016,7,10,5,19.9
17121,2016,7,10,6,23
17121,2016,7,10,7,24.5
17121,2016,7,10,8,25.6
17121,2016,7,10,9,26.3
17121,2016,7,10,10,27.3
17121,2016,7,10,11,27.7
17121,2016,7,10,12,27.9
17121,2016,7,10,13,27.5
17121,2016,7,10,14,27
17121,2016,7,10,15,26.6
17121,2016,7,10,16,25.4
17121,2016,7,10,17,23.6
17121,2016,7,10,18,21.4
17121,2016,7,10,19,20
17121,2016,7,10,20,18.3
17121,2016,7,10,21,18.1
17121,2016,7,10,22,15.1
17121,2016,7,10,23,14.3
17121,2016,7,11,0,13.5
17121,2016,7,11,1,12.3
17121,2016,7,11,2,12.4
17121,2016,7,11,3,12.5
17121,2016,7,11,4,16.3
17121,2016,7,11,5,19.5
17121,2016,7,11,6,21.7
17121,2016,7,11,7,23
17121,2016,7,11,8,24.2
17121,2016,7,11,9,25.5
17121,2016,7,11,10,26.9
17121,2016,7,11,11,28
17121,2016,7,11,12,28.7
17121,2016,7,11,13,29.3
17121,2016,7,11,14,28.9
17121,2016,7,11,15,28.1
17121,2016,7,11,16,26.4
17121,2016,7,11,17,24.1
17121,2016,7,11,18,22
17121,2016,7,11,19,19.4
17121,2016,7,11,20,17.6
17121,2016,7,11,21,16.4
17121,2016,7,11,22,15.8
17121,2016,7,11,23,15.3
17121,2016,7,12,0,14.7
17121,2016,7,12,1,13.4
17121,2016,7,12,2,13.2
17121,2016,7,12,3,13.1
17121,2016,7,12,4,16.8
17121,2016,7,12,5,20.6
17121,2016,7,12,6,22.9
17121,2016,7,12,7,25.5
17121,2016,7,12,8,26.8
17121,2016,7,12,9,28.1
17121,2016,7,12,10,29.4
17121,2016,7,12,11,30.4
17121,2016,7,12,12,31.3
17121,2016,7,12,13,31.6
17121,2016,7,12,14,32.1
17121,2016,7,12,15,31.7
17121,2016,7,12,16,31.5
17121,2016,7,12,17,29.8
17121,2016,7,12,18,26.2
17121,2016,7,12,19,23.2
17121,2016,7,12,20,22.1
17121,2016,7,12,21,20.1
17121,2016,7,12,22,19.8
17121,2016,7,12,23,17.4
17121,2016,7,13,0,16.3
17121,2016,7,13,1,15.7
17121,2016,7,13,2,14.2
17121,2016,7,13,3,13.5
17121,2016,7,13,4,18.7
17121,2016,7,13,5,22
17121,2016,7,13,6,26.1
17121,2016,7,13,7,28.4
17121,2016,7,13,8,30.2
17121,2016,7,13,9,32.1
17121,2016,7,13,10,33.6
17121,2016,7,13,11,33.9
17121,2016,7,13,12,35
17121,2016,7,13,13,35
17121,2016,7,13,14,35.1
17121,2016,7,13,15,34.1
17121,2016,7,13,16,32
17121,2016,7,13,17,29.5
17121,2016,7,13,18,27.5
17121,2016,7,13,19,25.2
17121,2016,7,13,20,24.2
17121,2016,7,13,21,21.8
17121,2016,7,13,22,21.2
17121,2016,7,13,23,20.8
17121,2016,7,14,0,19.4
17121,2016,7,14,1,18.6
17121,2016,7,14,2,18.5
17121,2016,7,14,3,16.3
17121,2016,7,14,4,20
17121,2016,7,14,5,23.4
17121,2016,7,14,6,26.5
17121,2016,7,14,7,29.7
17121,2016,7,14,8,32.1
17121,2016,7,14,9,33.4
17121,2016,7,14,10,34.1
17121,2016,7,14,11,34.5
17121,2016,7,14,12,34.5
17121,2016,7,14,13,34.2
17121,2016,7,14,14,33.8
17121,2016,7,14,15,32.1
17121,2016,7,14,16,30.7
17121,2016,7,14,17,29
17121,2016,7,14,18,26.4
17121,2016,7,14,19,24.4
17121,2016,7,14,20,22.4
17121,2016,7,14,21,20.1
17121,2016,7,14,22,19
17121,2016,7,14,23,17.9
17121,2016,7,15,0,16.8
17121,2016,7,15,1,16.1
17121,2016,7,15,2,15.1
17121,2016,7,15,3,14.5
17121,2016,7,15,4,17.1
17121,2016,7,15,5,20.6
17121,2016,7,15,6,24.6
17121,2016,7,15,7,29.1
17121,2016,7,15,8,32.1
17121,2016,7,15,9,34
17121,2016,7,15,10,35.5
17121,2016,7,15,11,35.8
17121,2016,7,15,12,35.8
17121,2016,7,15,13,36.4
17121,2016,7,15,14,35.9
17121,2016,7,15,15,35
17121,2016,7,15,16,33.7
17121,2016,7,15,17,30.8
17121,2016,7,15,18,27.8
17121,2016,7,15,19,24.3
17121,2016,7,15,20,22.8
17121,2016,7,15,21,21.3
17121,2016,7,15,22,21.2
17121,2016,7,15,23,18.3
17121,2016,7,16,0,17
17121,2016,7,16,1,16
17121,2016,7,16,2,16
17121,2016,7,16,3,14.3
17121,2016,7,16,4,19.4
17121,2016,7,16,5,24.3
17121,2016,7,16,6,26.3
17121,2016,7,16,7,29.2
17121,2016,7,16,8,32.9
17121,2016,7,16,9,35.9
17121,2016,7,16,10,36.7
17121,2016,7,16,11,37.6
17121,2016,7,16,12,37.9
17121,2016,7,16,13,38
17121,2016,7,16,14,38.3
17121,2016,7,16,15,37.9
17121,2016,7,16,16,37.1
17121,2016,7,16,17,34.2
17121,2016,7,16,18,30.6
17121,2016,7,16,19,26.9
17121,2016,7,16,20,25.2
17121,2016,7,16,21,24.7
17121,2016,7,16,22,22.2
17121,2016,7,16,23,20.2
17121,2016,7,17,0,20
17121,2016,7,17,1,17
17121,2016,7,17,2,17.2
17121,2016,7,17,3,17
17121,2016,7,17,4,20.7
17121,2016,7,17,5,25.4
17121,2016,7,17,6,27.7
17121,2016,7,17,7,30.6
17121,2016,7,17,8,33.3
17121,2016,7,17,9,34.6
17121,2016,7,17,10,36.2
17121,2016,7,17,11,38.1
17121,2016,7,17,12,38.4
17121,2016,7,17,13,38.5
17121,2016,7,17,14,38.5
17121,2016,7,17,15,35.8
17121,2016,7,17,16,32.9
17121,2016,7,17,17,29.4
17121,2016,7,17,18,26.8
17121,2016,7,17,19,25.5
17121,2016,7,17,20,24.1
17121,2016,7,17,21,23.4
17121,2016,7,17,22,22
17121,2016,7,17,23,21.4
17121,2016,7,18,0,21.1
17121,2016,7,18,1,19.9
17121,2016,7,18,2,20.7
17121,2016,7,18,3,20.6
17121,2016,7,18,4,21.7
17121,2016,7,18,5,23.1
17121,2016,7,18,6,25.1
17121,2016,7,18,7,26.1
17121,2016,7,18,8,27.1
17121,2016,7,18,9,28.3
17121,2016,7,18,10,28.8
17121,2016,7,18,11,28.7
17121,2016,7,18,12,28.6
17121,2016,7,18,13,28.4
17121,2016,7,18,14,27.7
17121,2016,7,18,15,25.8
17121,2016,7,18,16,24.4
17121,2016,7,18,17,22
17121,2016,7,18,18,20.5
17121,2016,7,18,19,20
17121,2016,7,18,20,19.7
17121,2016,7,18,21,19.1
17121,2016,7,18,22,18.7
17121,2016,7,18,23,18.3
17121,2016,7,19,0,16.9
17121,2016,7,19,1,16.4
17121,2016,7,19,2,16.3
17121,2016,7,19,3,16
17121,2016,7,19,4,18.3
17121,2016,7,19,5,20.5
17121,2016,7,19,6,22.9
17121,2016,7,19,7,24.4
17121,2016,7,19,8,25.7
17121,2016,7,19,9,26.6
17121,2016,7,19,10,26.9
17121,2016,7,19,11,26.9
17121,2016,7,19,12,26.1
17121,2016,7,19,13,25.7
17121,2016,7,19,14,25.6
17121,2016,7,19,15,24.5
17121,2016,7,19,16,23.1
17121,2016,7,19,17,21.7
17121,2016,7,19,18,19.6
17121,2016,7,19,19,18.7
17121,2016,7,19,20,18.2
17121,2016,7,19,21,17.6
17121,2016,7,19,22,17.3
17121,2016,7,19,23,16.7
17121,2016,7,20,0,16.5
17121,2016,7,20,1,15.9
17121,2016,7,20,2,15.7
17121,2016,7,20,3,14.9
17121,2016,7,20,4,17.1
17121,2016,7,20,5,19.5
17121,2016,7,20,6,21.3
17121,2016,7,20,7,23.2
17121,2016,7,20,8,23.6
17121,2016,7,20,9,25.2
17121,2016,7,20,10,25.4
17121,2016,7,20,11,25.9
17121,2016,7,20,12,26.5
17121,2016,7,20,13,27
17121,2016,7,20,14,26.2
17121,2016,7,20,15,25.3
17121,2016,7,20,16,23.5
17121,2016,7,20,17,22.3
17121,2016,7,20,18,20.5
17121,2016,7,20,19,19.7
17121,2016,7,20,20,18.7
17121,2016,7,20,21,18.5
17121,2016,7,20,22,17.6
17121,2016,7,20,23,17.1
17121,2016,7,21,0,16.9
17121,2016,7,21,1,16.7
17121,2016,7,21,2,16.5
17121,2016,7,21,3,16.5
17121,2016,7,21,4,17
17121,2016,7,21,5,20.2
17121,2016,7,21,6,22
17121,2016,7,21,7,23.7
17121,2016,7,21,8,23.5
17121,2016,7,21,9,24.7
17121,2016,7,21,10,25.8
17121,2016,7,21,11,26.2
17121,2016,7,21,12,26.4
17121,2016,7,21,13,25.9
17121,2016,7,21,14,26.1
17121,2016,7,21,15,25.5
17121,2016,7,21,16,24.3
17121,2016,7,21,17,22.5
17121,2016,7,21,18,20.7
17121,2016,7,21,19,19.5
17121,2016,7,21,20,16.8
17121,2016,7,21,21,15.9
17121,2016,7,21,22,14.4
17121,2016,7,21,23,14
17121,2016,7,22,0,13.7
17121,2016,7,22,1,12.8
17121,2016,7,22,2,11.9
17121,2016,7,22,3,11.6
17121,2016,7,22,4,14
17121,2016,7,22,5,18.8
17121,2016,7,22,6,22
17121,2016,7,22,7,23.8
17121,2016,7,22,8,26.3
17121,2016,7,22,9,26.6
17121,2016,7,22,10,28.2
17121,2016,7,22,11,28.8
17121,2016,7,22,12,28.9
17121,2016,7,22,13,28.9
17121,2016,7,22,14,28.7
17121,2016,7,22,15,27.8
17121,2016,7,22,16,26.4
17121,2016,7,22,17,24.5
17121,2016,7,22,18,22.3
17121,2016,7,22,19,20.6
17121,2016,7,22,20,18.7
17121,2016,7,22,21,16.6
17121,2016,7,22,22,16.1
17121,2016,7,22,23,15.9
17121,2016,7,23,0,15.2
17121,2016,7,23,1,13.5
17121,2016,7,23,2,12
17121,2016,7,23,3,12.6
17121,2016,7,23,4,17.6
17121,2016,7,23,5,20.6
17121,2016,7,23,6,23.6
17121,2016,7,23,7,25.4
17121,2016,7,23,8,27.5
17121,2016,7,23,9,28.4
17121,2016,7,23,10,29
17121,2016,7,23,11,30
17121,2016,7,23,12,29.9
17121,2016,7,23,13,30.2
17121,2016,7,23,14,29
17121,2016,7,23,15,27.9
17121,2016,7,23,16,26.5
17121,2016,7,23,17,24.6
17121,2016,7,23,18,22.1
17121,2016,7,23,19,20.9
17121,2016,7,23,20,18.6
17121,2016,7,23,21,17.4
17121,2016,7,23,22,18.3
17121,2016,7,23,23,15.8
17121,2016,7,24,0,15.5
17121,2016,7,24,1,14.2
17121,2016,7,24,2,14.3
17121,2016,7,24,3,14.3
17121,2016,7,24,4,17.2
17121,2016,7,24,5,21.3
17121,2016,7,24,6,23.3
17121,2016,7,24,7,25.2
17121,2016,7,24,8,26.4
17121,2016,7,24,9,28.3
17121,2016,7,24,10,29
17121,2016,7,24,11,30.2
17121,2016,7,24,12,30.4
17121,2016,7,24,13,30.7
17121,2016,7,24,14,30.8
17121,2016,7,24,15,29.5
17121,2016,7,24,16,28.1
17121,2016,7,24,17,26.3
17121,2016,7,24,18,24
17121,2016,7,24,19,22.8
17121,2016,7,24,20,21.5
17121,2016,7,24,21,19.5
17121,2016,7,24,22,19.2
17121,2016,7,24,23,17.2
