istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
17121,1991,7,1,5,83
17121,1991,7,1,12,36
17121,1991,7,1,19,75
17121,1991,7,2,5,82
17121,1991,7,2,12,60
17121,1991,7,2,19,84
17121,1991,7,3,5,81
17121,1991,7,3,12,54
17121,1991,7,3,19,80
17121,1991,7,4,5,89
17121,1991,7,4,12,43
17121,1991,7,4,19,78
17121,1991,7,5,5,86
17121,1991,7,5,12,71
17121,1991,7,5,19,86
17121,1991,7,6,5,90
17121,1991,7,6,12,70
17121,1991,7,6,19,87
17121,1991,7,7,5,85
17121,1991,7,7,12,88
17121,1991,7,7,19,94
17121,1991,7,8,5,80
17121,1991,7,8,12,58
17121,1991,7,8,19,79
17121,1991,7,9,5,75
17121,1991,7,9,12,52
17121,1991,7,9,19,73
17121,1991,7,10,5,83
17121,1991,7,10,12,51
17121,1991,7,10,19,71
17121,1991,7,11,5,82
17121,1991,7,11,12,30
17121,1991,7,11,19,68
17121,1991,7,12,5,85
17121,1991,7,12,12,38
17121,1991,7,12,19,61
17121,1991,7,13,5,71
17121,1991,7,13,12,50
17121,1991,7,13,19,78
17121,1991,7,14,5,74
17121,1991,7,14,12,40
17121,1991,7,14,19,74
17121,1991,7,15,5,79
17121,1991,7,15,12,30
17121,1991,7,15,19,65
17121,1991,7,16,5,79
17121,1991,7,16,12,40
17121,1991,7,16,19,78
17121,1991,7,17,5,86
17121,1991,7,17,12,52
17121,1991,7,17,19,66
17121,1991,7,18,5,82
17121,1991,7,18,12,40
17121,1991,7,18,19,75
17121,1991,7,19,5,80
17121,1991,7,19,12,58
17121,1991,7,19,19,82
17121,1991,7,20,5,78
17121,1991,7,20,12,44
17121,1991,7,20,19,79
17121,1991,7,21,5,77
17121,1991,7,21,12,43
17121,1991,7,21,19,83
17121,1991,7,22,5,79
17121,1991,7,22,12,31
17121,1991,7,22,19,74
17121,1991,7,23,5,71
17121,1991,7,23,12,44
17121,1991,7,23,19,83
17121,1991,7,24,5,75
17121,1991,7,24,12,54
17121,1991,7,24,19,81
17121,1991,7,25,5,80
17121,1991,7,25,12,38
17121,1991,7,25,19,71
17121,1991,7,26,5,84
17121,1991,7,26,12,37
17121,1991,7,26,19,66
17121,1991,7,27,5,64
17121,1991,7,27,12,21
17121,1991,7,27,19,40
17121,1991,7,28,5,65
17121,1991,7,28,12,24
17121,1991,7,28,19,57
17121,1991,7,29,5,63
17121,1991,7,29,12,42
17121,1991,7,29,19,61
17121,1991,7,30,5,74
17121,1991,7,30,12,38
17121,1991,7,30,19,67
17121,1991,7,31,5,73
17121,1991,7,31,12,45
17121,1991,7,31,19,77
17121,1991,8,1,5,78
17121,1991,8,1,12,31
17121,1991,8,1,19,56
17121,1991,8,2,5,76
17121,1991,8,2,12,30
17121,1991,8,2,19,65
17121,1991,8,3,5,80
17121,1991,8,3,12,43
17121,1991,8,3,19,78
17121,1991,8,4,5,79
17121,1991,8,4,12,41
17121,1991,8,4,19,65
17121,1991,8,5,5,82
17121,1991,8,5,12,48
17121,1991,8,5,19,74
17121,1991,8,6,5,80
17121,1991,8,6,12,41
17121,1991,8,6,19,67
17121,1991,8,7,5,83
17121,1991,8,7,12,46
17121,1991,8,7,19,88
17121,1991,8,8,5,88
17121,1991,8,8,12,40
17121,1991,8,8,19,78
17121,1991,8,9,5,82
17121,1991,8,9,12,53
17121,1991,8,9,19,78
17121,1991,8,10,5,79
17121,1991,8,10,12,50
17121,1991,8,10,19,48
17121,1991,8,11,5,76
17121,1991,8,11,12,44
17121,1991,8,11,19,66
17121,1991,8,12,5,82
17121,1991,8,12,12,41
17121,1991,8,12,19,71
17121,1991,8,13,5,83
17121,1991,8,13,12,34
17121,1991,8,13,19,63
17121,1991,8,14,5,81
17121,1991,8,14,12,47
17121,1991,8,14,19,71
17121,1991,8,15,5,86
17121,1991,8,15,12,38
17121,1991,8,15,19,74
17121,1991,8,16,5,90
17121,1991,8,16,12,52
17121,1991,8,16,19,81
17121,1991,8,17,5,85
17121,1991,8,17,12,51
17121,1991,8,17,19,73
17121,1991,8,18,5,87
17121,1991,8,18,12,50
17121,1991,8,18,19,75
17121,1991,8,19,5,88
17121,1991,8,19,12,47
17121,1991,8,19,19,67
17121,1991,8,20,5,84
17121,1991,8,20,12,42
17121,1991,8,20,19,81
17121,1991,8,21,5,90
17121,1991,8,21,12,40
17121,1991,8,21,19,89
17121,1991,8,22,5,90
17121,1991,8,22,12,47
17121,1991,8,22,19,79
17121,1991,8,23,5,77
17121,1991,8,23,12,50
17121,1991,8,23,19,66
17121,1991,8,24,5,80
17121,1991,8,24,12,39
17121,1991,8,24,19,67
17121,1991,8,25,5,86
17121,1991,8,25,12,36
17121,1991,8,25,19,65
17121,1991,8,26,5,92
17121,1991,8,26,12,40
17121,1991,8,26,19,73
17121,1991,8,27,5,92
17121,1991,8,27,12,27
17121,1991,8,27,19,79
17121,1991,8,28,5,78
17121,1991,8,28,12,57
17121,1991,8,28,19,84
17121,1991,8,29,5,88
17121,1991,8,29,12,42
17121,1991,8,29,19,79
17121,1991,8,30,5,90
17121,1991,8,30,12,43
